Date,Donor,Address,Amount
2014-07-24,"MKBS, LLC",,10000.0
2014-07-29,ELBO CONSTRUCTION LLC,,500.0
2014-08-01,750 THIRD OWNER LLC,,5000.0
2014-08-04,"ISLIP VENTURES, LLC",,19200.0
2014-08-04,SUMMIT BY NORSTAR LLC,,4200.0
2014-08-07,"EB RACEWAY, LLC",,5000.0
2014-08-07,HUNGRY HARBOR CARE LLC,,5000.0
2014-08-07,"ENGEL BURMAN SR. HOUSING AT EAST NORTHPORT, LLC",,10000.0
2014-08-07,ISLAND ACOUSTICS LLC,,2500.0
2014-08-07,EB CARE AT MASSAPEQUA LLC,,5000.0
2014-08-08,S & R COMPANY OF WEST SENECA NEWCO LLC,,13300.0
2014-08-09,VAN WAGNER COMMUNICATIONS LLC,,3098.0
2014-08-13,KAMPACK MATERIAL SUPPLY LLC,,5000.0
2014-08-27,"DENARDIS ENGINEERING, LLC",,5000.0
2014-08-28,"OMP OFFICE, LLC",,2500.0
2014-08-29,"KONAR ENTERPRISES, LLC",,4000.0
2014-08-29,215 WEST 90TH STREET RETAIL LLC,,10000.0
2014-09-02,750 THIRD OWNER LLC,,5000.0
2014-09-06,DHOOM RESTAURANT LLC,,11000.0
2014-09-16,KISSENA GLATT FARMS LLC,,1000.0
2014-09-18,CONSTELLATION LEASING LLC,,5000.0
2014-09-18,HARRIS BEACH PLLC POLITICAL COMMITTEE - STATE,,10000.0
2014-09-20,"ELANA CHARTERS, LLC",,10609.0
2014-09-23,235 WEST 102ND STREET RETAIL LLC,,10000.0
2014-09-24,ARGENT VENTURES LLC,,10000.0
2014-09-24,THE BATTERY GROUP LLC,,5000.0
2014-09-24,BAN REALTY LLC,,1000.0
2014-09-24,"BCGHQ, LLC",,2000.0
2014-09-24,ADVANCED ORTHOPAEDICS PLLC,,1000.0
2014-09-24,"PLUMMER & WIGGER, LLC",,2500.0
2014-09-30,SECURITY EQUITY LLC,,5000.0
2014-09-30,RENAISSANCE EQUITY LLC,,5000.0
2014-10-01,750 THIRD OWNER LLC,,5000.0
2014-10-04,RFR AIR LLC,,4215.0
2014-10-06,ADM EQUITIES LLC,,10000.0
2014-10-16,ISLAND MANAGEMENT SERVICES LLC,,34448.0
2014-10-17,ISLAND CAPITAL GROUP LLC,,41100.0
2014-10-17,ISLAND MANAGEMENT SERVICES LLC,,1004.0
2014-10-20,MSL PARTNERS LLC,,10000.0
2014-10-20,LAFARGE MID-ATLANTIC LLC,,2000.0
2014-10-22,3MB ASSOCIATES LLC,,15000.0
2014-10-24,HINMAN STRAUB ADVISORS LLC,,2500.0
2014-10-24,BRESCO HOLDINGS LLC,,5000.0
2014-10-24,JAZ FLIP LLC,,5000.0
2014-10-24,MAD LLC,,2500.0
2014-10-27,TRIANGLE EQUITIES MANAGEMENT CO. LLC,,10000.0
2014-10-27,"PUBLIC STRATEGIES IMPACT, LLC",,2500.0
2014-10-27,"MOUNTAINVILLE ASSOCIATES, LLC",,2500.0
2014-10-27,"QUEENS MEDICAL PAVILION, LLC",,5000.0
2014-10-28,KNICKERBOCKER TELEVISION LLC,,15000.0
2014-10-28,"KNICKERBOCKER PARKING, LLC",,5000.0
2014-10-28,"MSW CT, LLC",,2250.0
2014-10-28,"HURRICANE MANAGEMENT SERVICES, LLC",,15000.0
2014-10-29,ADVANCED ORTHOPAEDICS PLLC,,10000.0
2014-10-29,"ARIS DIAGNOSTIC MEDICAL, PLLC",,2000.0
2014-10-29,"THOMPSON B-1 EDUCATION CENTER, LLC",,15000.0
2014-10-29,NEW YORK FOOT AND ANKLE PLLC,,10000.0
2014-10-29,MADDD EQUITIES LLC,,10000.0
2014-10-30,"OTG JFK T5 VENTURE, LLC",,10000.0
2014-10-30,BENJAMIN MILLENIUM GROUP LLC,,10000.0
2014-10-30,MCGUIRE DEVELOPMENT COMPANY LLC,,10000.0
2014-10-31,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 20, LLC",,2500.0
2014-10-31,BRICK HOLDINGS LLC,,20000.0
2014-10-31,"LIBERTY NATURAL GAS, LLC",,25000.0
2014-11-03,"6970 SCHUYLER ROAD, LLC",,2250.0
2014-11-03,170 WEST 75TH STREET RETAIL LLC,,10000.0
2014-11-03,"SINATRA & COMPANY REAL ESTATE, LLC",,5000.0
2014-11-03,"WATERFRONT PROPERTY MANAGEMENT, LLC",,40000.0
2014-11-03,SHARED CONCEPTS LLC,,25000.0
2014-11-04,750 THIRD OWNER LLC,,5000.0
2014-12-04,750 THIRD OWNER LLC,,10000.0
2014-12-11,NS OUEST LLC,,7750.0
2015-03-18,TERN CONSTRUCTION & DEVELOPMENT LLC,,15000.0
2015-03-23,"EMPIRE MERCHANTS NORTH, LLC",,22400.0
2015-03-30,"MACQUESTEN DEVELOPMENT, LLC",,15000.0
2015-03-31,"EMPIRE MERCHANTS, LLC",,44800.0
2015-04-03,"RID VENTURES, LLC",,15000.0
2015-04-07,"KIRKWOOD VENTURES, LLC",,5000.0
2015-04-08,"WILLETS POINT HOLDINGS, LLC",,10000.0
2015-04-09,"BOLLA EM REALTY, LLC",,30000.0
2015-04-09,PENINSULA NURSING & REHABILITATION CENTER LLC,,15000.0
2015-04-10,"KNICKERBOCKER MANAGEMENT, LLC",,30000.0
2015-04-15,"BNY CAPITAL FUNDING, LLC",,5000.0
2015-04-20,"WHITESTONE CAPITAL PARTNERS, LLC",,15000.0
2015-05-07,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,25000.0
2015-05-07,"ANHEUSER-BUSCH COMPANIES, LLC",,15000.0
2015-05-13,ZEREGA REALTY LLC,,2500.0
2015-05-13,"GLOUCESTER STREET CAPITAL, LLC",,5000.0
2015-05-13,NORSTAR AT BEAR CREEK LLC,,25000.0
2015-05-13,DV GROUP LLC,,1000.0
2015-05-13,"O & H MANAGEMENT, LLC",,5000.0
2015-05-13,"VAN TRANS, LLC",,2500.0
2015-05-13,REAL QUALITY WINDOWS & DOORS LLC,,2000.0
2015-05-13,"YANKEE GLOBAL ENTERPRISES, LLC",,10000.0
2015-05-13,MARATHON DEVELOPMENT GROUP LLC,,25000.0
2015-05-13,"OMNI HOLDING COMPANY, LLC",,25000.0
2015-05-13,THE NRP GROUP LLC,,25000.0
2015-05-13,"ALEXANDER HOLDINGS, LLC",,5000.0
2015-05-13,CITY VENTILATIONS LLC,,1000.0
2015-06-02,MARATHON DEVELOPMENT GROUP LLC,,5000.0
2015-06-02,"PARKVIEW DEVELOPMENT & CONSTRUCTION, LLC",,20000.0
2015-06-09,"LECHASE CONSTRUCTION SERVICES, LLC",,10000.0
2015-06-09,NEXTERA ENERGY TRANSMISSION LLC,,5000.0
2015-06-22,"FOUR M CAPITAL, LLC",,5000.0
2015-06-22,BOLTON ST. JOHNS LLC,,10000.0
2015-06-22,SL GREEN MANAGEMENT LLC,,25000.0
2015-06-22,"RIVERSIDE ABSTRACT, LLC OPERATING ACCOUNT",,5000.0
2015-06-22,URBAN PRECAST LLC,,5000.0
2015-06-22,"700 N. SAM HOUSTON ROAD REALTY, LLC",,5000.0
2015-06-22,"BLUESTONE MANAGEMENT ASSOCIATES, LLC",,5000.0
2015-06-22,THE PARKSIDE GROUP LLC,,5000.0
2015-06-22,STOCKBRIDGE INVESTMENT LLC,,5000.0
2015-06-22,ADVANCED CARE STAFFING LLC,,5000.0
2015-06-22,"ELANA CHARTERS, LLC",,25000.0
2015-06-22,TALLBOY TECHNOLOGY LLC,,60000.0
2015-06-22,MANHATTAN BEER DISTRIBUTORS LLC,,10000.0
2015-06-22,"FOUR M FRANCHISING, LLC",,5000.0
2015-06-22,ACHILLES GROUP LLC,,60000.0
2015-06-30,RENAISSANCE EQUITY LLC,,5000.0
2015-06-30,"NBC UNIVERSAL MEDIA, LLC",,5300.0
2015-06-30,DJ INVESTORS LLC,,5000.0
2015-06-30,REG LLC COMMAND ACCOUNT,,25000.0
2015-06-30,70 BATTERY PARK LLC,,10000.0
2015-06-30,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 25, LLC",,5000.0
2015-06-30,"NBC UNIVERSAL MEDIA, LLC",,19700.0
2015-07-01,SL GREEN MANAGEMENT LLC,,15633.0
2015-07-01,FRESH DIRECT LLC,,5000.0
2015-07-08,"OYSTER BAY DEVELOPMENT, LLC",,5000.0
2015-07-08,"WILLETS POINT HOLDINGS, LLC",,60700.0
2015-07-08,OMNI HOUSING DEVELOPMENT LLC,,5000.0
2015-07-08,CONIFER REALTY LLC,,25000.0
2015-07-09,"OTG MANAGEMENT, LLC",,25000.0
2015-07-10,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,10000.0
2015-07-10,PENCILS DOWN LLC,,25000.0
2015-07-10,RIVERGATE DEVELOPMENT LLC,,25000.0
2015-07-12,ADVANCED ORTHOPAEDICS PLLC,,5000.0
2015-07-13,"MTY PROPERTIES, LLC",,25000.0
2015-07-13,"MT. IDA APARTMENTS, LLC",,5000.0
2015-07-13,"SHEAU, LLC",,2500.0
2015-07-13,LEWISTON GREENHOUSE LLC,,30000.0
2015-07-13,SKKS LLC,,5000.0
2015-07-13,ELITE CINEMA VI LLC,,2500.0
2015-07-13,"COLUMBIA HPS, LLC",,5000.0
2015-07-13,"COLUMBIA 50 NS, LLC",,5000.0
2015-07-13,"22 NEW SCOTLAND AVENUE, LLC",,5000.0
2015-07-13,"SOUTH 1ST STREET DEVELOPMENT, LLC",,25000.0
2015-07-13,MONTROSE PARK LLC,,25000.0
2015-07-13,"845 GRAND DEVELOPMENT, LLC",,25000.0
2015-07-13,LEWISTON GREENHOUSE LLC,,15000.0
2015-07-13,EMPIRE EXECUTIVE INN LLC,,15000.0
2015-07-13,WTC MANAGEMENT AND DEVELOPMENT LLC,,15000.0
2015-07-13,"CHESTER MALL, LLC",,5000.0
2015-07-13,"ADC, LLC",,15000.0
2015-07-14,"SOUTH 1ST STREET DEVELOPMENT, LLC",,25000.0
2015-07-14,WOODLAND ESTATES LLC,,50000.0
2015-07-14,"845 GRAND DEVELOPMENT, LLC",,25000.0
2015-07-14,MONTROSE PARK LLC,,25000.0
2015-07-14,JL N ASSOCIATES LLC,,10000.0
2015-07-14,"MTY PROPERTIES, LLC",,25000.0
2015-07-15,3300 KOSSUTH PARTNERS LLC,,15000.0
2015-07-20,URBAN BUILDERS COLLABORATIVE LLC,,500.0
2015-07-20,"ANHEUSER-BUSCH COMPANIES, LLC",,20000.0
2015-07-20,LIGHTHOUSE LANDING VENTURE LLC,,60000.0
2015-07-20,JNI LLC,,60000.0
2015-07-22,ADVANCED CARE ADVISORS LLC,,20000.0
2015-08-01,FOND DU LAC COLD STORAGE LLC,,1000.0
2015-08-24,"COR ROUTE 31 COMPANY, LLC",,25000.0
2015-08-26,ENVIRONMENTAL AND FUELING SYSTEMS LLC,,10000.0
2015-08-31,"MICHAEL R. PHINNEY, ARCHITECT, PLLC",,5000.0
2015-08-31,"SARATOGA GAMING RESOURCES, LLC",,5000.0
2015-08-31,CAPITOL GROUP LLC,,2000.0
2015-08-31,BOLINGBROOK PROPERTY PARTNERS LLC,,5000.0
2015-09-12,"ZUFFA, LLC",,5000.0
2015-09-28,"EXTENDED NURSING PERSONNEL, CHHA LLC",,5000.0
2015-10-05,50 MURRAY STREET ACQUISITIONS LLC,,5000.0
2015-10-05,RENAISSANCE EQUITY LLC,,10000.0
2015-10-05,NLO STRATEGIES LLC,,1000.0
2015-10-05,DOLP 1155 PROPERTIES LLC,,25000.0
2015-10-05,"TRIAD GROUP, LLC",,15000.0
2015-10-05,DOLP 733 PROPERTIES LLC,,25000.0
2015-10-05,DOLP 1133 PROPERTIES LLC,,25000.0
2015-10-05,DOLP 114 PROPERTIES LLC,,25000.0
2015-10-05,SECURITY EQUITY LLC,,5000.0
2015-10-05,SECURITY EQUITY LLC,,5000.0
2015-10-05,RATIONAL RETENTION LLC,,5000.0
2015-10-08,KR INVESTORS LLC,,50000.0
2015-10-09,"KONAR ENTERPRISES, LLC",,3000.0
2015-10-11,"ZUFFA, LLC",,7500.0
2015-10-12,"PLUMMER & WIGGER, LLC",,2500.0
2015-10-14,DEERWOOD REAL ESTATE CAPITAL LLC,,3000.0
2015-10-15,"EXTENDED NURSING PERSONNEL, CHHA LLC",,10000.0
2015-10-15,WILLIAMS NEW YORK LLC,,3000.0
2015-10-19,"VERITY WINES, LLC",,1000.0
2015-10-24,WINN MGMT. CO. LLC,,25000.0
2015-11-11,WATERVIEW LOFTS LLC,,10000.0
2015-11-11,TRAC CENTRAL JERSEY LLC,,5000.0
2015-11-11,KEREN STAR MANAGEMENT LLC,,2000.0
2015-11-11,RECTOR STREET DEVELOPMENT LLC,,2500.0
2015-11-13,SYM REALTY MGMT & DEV LLC,,10000.0
2015-11-16,POET LLC,,5000.0
2015-11-17,"MIRROR LAKE CONSULTING, LLC",,5000.0
2015-11-20,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,5000.0
2015-11-25,TERN CONSTRUCTION & DEVELOPMENT LLC,,7500.0
2015-11-26,ASA CONSTRUCTION & MANAGEMENT LLC,,2500.0
2015-11-26,MARATHON DEVELOPMENT GROUP LLC,,10000.0
2015-11-27,"WATERFRONT PROPERTY MANAGEMENT, LLC",,10000.0
2015-12-07,"DECADE SOFTWARE COMPANY, LLC",,5000.0
2015-12-11,"OTG MANAGEMENT, LLC",,10000.0
2015-12-11,THE PARKSIDE GROUP LLC,,20000.0
2015-12-11,"CHARTWELL LAUREL STREET, LLC",,5000.0
2015-12-11,COMMACK CHI LLC,,5000.0
2015-12-14,"MACANDREWS & FORBES GROUP, LLC",,25000.0
2015-12-14,"WOH GOVERNMENT SOLUTIONS, LLC",,913.0
2015-12-15,"MACANDREWS & FORBES GROUP, LLC",,3203.0
2015-12-18,"DESIGN DEVELOPMENT ARCHITECTS, PLLC",,1000.0
2015-12-24,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 20, LLC",,10000.0
2016-01-05,ALFRED WEISSMAN REAL ESTATE LLC,,1500.0
2016-01-06,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,1000.0
2016-01-08,MCG CONSTRUCTION LLC,,1000.0
2016-01-08,"DOUGLAS POLANER SELECTIONS, LLC",,1500.0
2016-01-08,"D&J INDUSTRIES, LLC",,1000.0
2016-01-08,BFP 300 MADISON II LLC,,40000.0
2016-01-08,NLO STRATEGIES LLC,,2000.0
2016-01-08,GLO ELECTRIC LLC,,3000.0
2016-01-08,YOURPFO CONSULTING LLC,,1000.0
2016-01-08,"CAM-ELM COMPANY, LLC",,2500.0
2016-01-08,FISCHMAN BROS. LLC,,7000.0
2016-01-08,HOULIHAN-PARNES REALTORS LLC,,1000.0
2016-01-08,BFP 300 MADISON A LLC,,30000.0
2016-01-08,"JHR INVESTMENTS, LLC",,1000.0
2016-01-08,ADA ELECTRICAL CONTRACTING LLC,,1000.0
2016-01-08,CATON AVENUE REALTY LLC,,20000.0
2016-01-08,SAPPHIRE VENTURES LLC,,10000.0
2016-01-08,BP ONE WFC CO. LLC,,40000.0
2016-01-08,BFP POTOMAC TOWER CO. LLC,,40000.0
2016-01-10,DEDICATED BUILDING SERVICES LLC,,10000.0
2016-01-10,"J&R REAL PROPERTY, LLC",,5000.0
2016-01-10,SLG GRAYBAR MESNE LEASE LLC,,15841.0
2016-01-10,"WILLIAM GOTTLIEB MANAGEMENT CO., LLC",,5000.0
2016-01-11,"181 AVENUE A, LLC",,11250.0
2016-01-11,"ANTHONY T. RINALDI, LLC",,2500.0
2016-01-11,"204 HS ASSOCIATES, LLC",,11250.0
2016-01-11,ROBERT J MALITO PLLC,,250.0
2016-01-11,"YANKEE GLOBAL ENTERPRISES, LLC",,10000.0
2016-01-12,"GEORGE DRAPEAU COMPANY, LLC",,1000.0
2016-01-12,"CLAY SOUTH DEVELOPMENT CO, LLC",,5000.0
2016-01-16,"SABER REAL ESTATE ADVISORS, LLC",,1000.0
2016-01-18,PLANT MANOR OPERATIONS LLC,,45000.0
2016-01-18,"ADI CONTRACTING, LLC",,1000.0
2016-01-19,THOMPSON & BENDER LLC,,1000.0
2016-03-02,"ZUFFA, LLC",,50000.0
2016-03-08,MCM EQUITIES LLC,,5000.0
2016-03-08,JFM REALTY LLC,,1000.0
2016-03-31,TERN CONSTRUCTION & DEVELOPMENT LLC,,15000.0
2016-04-17,VENETIAN GROUP LLC,,2500.0
2016-05-15,"TRADE OFF, LLC",,5000.0
2016-05-27,"ANHEUSER-BUSCH COMPANIES, LLC",,5000.0
2016-05-27,"BUSCH AGRICULTURAL RESOURCES, LLC",,5000.0
2016-06-20,MARATHON DEVELOPMENT GROUP LLC,,10000.0
2016-06-21,OMNI NEW YORK LLC,,25000.0
2016-06-22,"TRIAD GROUP, LLC",,15000.0
2016-06-29,"BOLTON ST. JOHNS, LLC",,10000.0
2016-06-30,"ARMORY PARKING ASSOCIATES, LLC",,500.0
2016-07-05,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,10000.0
2016-07-05,"NRP CONTRACTORS, LLC",,25000.0
2016-07-05,THE NRP GROUP LLC,,25000.0
2016-07-06,NNE PARTNERS LLC,,10000.0
2016-07-08,GOLDEN GATE REHAB AND HEALTH CENTER LLC,,1000.0
2016-07-08,"PARAGON MANAGEMENT SNF, LLC",,10000.0
2016-07-08,AVALON GARDENS REHABILITATION & HEALTHCARE LLC,,3000.0
2016-07-08,GENTING NEW YORK LLC,,50000.0
2016-07-08,POUGHKEEPSIE CROSSINGS LLC,,5000.0
2016-07-08,DUFFY & DUFFY PLLC,,5000.0
2016-07-08,"ABSOLUT FACILITIES MANAGEMENT, LLC",,1000.0
2016-07-08,"PEGALIS & ERICKSON, LLC",,5000.0
2016-07-10,SLG GRAYBAR MESNE LEASE LLC,,15841.0
2016-07-11,APN LLC,,20000.0
2016-07-11,"IAC FILMS, LLC",,20000.0
2016-07-11,"CONNECTED VENTURES, LLC CV SEGREGATED #1",,10000.0
2016-07-11,DOLP 1133 PROPERTIES LLC,,50000.0
2016-07-11,DOLP 114 PROPERTIES LLC,,50000.0
2016-07-11,KR INVESTORS LLC,,50000.0
2016-07-12,EMERALD CITY CONSTRUCTION LLC,,25000.0
2016-07-12,"O & H MANAGEMENT, LLC",,5000.0
2016-07-12,"FULLER MARQUISE, LLC",,25000.0
2016-07-12,EEMERGE NYC LLC,,25000.0
2016-07-12,CONSTELLATION LEASING LLC,,25000.0
2016-07-13,ACCESS INDUSTRIES HOLDINGS LLC,,15000.0
2016-07-13,"232 OLD NICHOLLS VILLAGE, LLC",,5000.0
2016-07-13,"DEMONT REALTY, LLC",,5000.0
2016-07-14,ADVANCED ORTHOPAEDICS PLLC,,5000.0
2016-07-14,"M3 TECHNOLOGY, LLC",,2500.0
2016-07-15,"NBC UNIVERSAL MEDIA, LLC",,1400.0
2016-07-15,"NBC UNIVERSAL MEDIA, LLC",,23600.0
2016-07-18,CENTOLELLA LYNN D'ELIA & TEMES LLC,,2000.0
2016-07-18,"BOND, SCHOENECK & KING, PLLC",,1000.0
2016-07-18,"R & M ASSOCIATES, LLC",,1000.0
2016-07-18,DEMBO DEVELOPMENT ASSOCIATES LLC,,5000.0
2016-07-18,BOUSQUET HOLSTEIN PLLC,,1000.0
2016-08-08,"CANANDAIGUA LAKEFRONT, LLC",,10000.0
2016-09-30,TERN CONSTRUCTION & DEVELOPMENT LLC,,10000.0
2016-10-07,HAGGERTY MUNZ PLLC,,900.0
2016-10-10,ASTELLAS US LLC POLITICAL ACTION COMMITTEE,,1000.0
2016-10-21,BOLTON ST. JOHNS LLC,,7500.0
2016-10-21,COMMACK CHI LLC,,10000.0
2016-10-31,"MILLENNIUM STRATEGIES, LLC",,500.0
2016-11-01,NHL INTERACTIVE CYBER ENTERPRISES LLC,,20000.0
2016-11-08,"KONAR ENTERPRISES, LLC",,1000.0
2016-11-21,"OTG MANAGEMENT, LLC",,10000.0
2016-11-28,SKA MARIN MANAGEMENT LLC,,10000.0
2016-11-29,JBS REALTY LLC,,2500.0
2016-11-29,"SOMERSET REALTY ADVISORS, LLC",,50000.0
2016-11-29,TERN CONSTRUCTION & DEVELOPMENT LLC,,7500.0
2016-11-30,MERCURY SERVICE GROUP LLC,,5000.0
2016-11-30,"M S & B CONSTRUCTION CO, LLC",,10000.0
2016-11-30,A NEW SPIN LLC,,5000.0
2016-11-30,MARATHON DEVELOPMENT GROUP LLC,,10000.0
2016-12-01,RHINEBECK REALTY LLC,,5000.0
2016-12-01,"TRINITY ASSOCIATES, LLC",,5000.0
2016-12-02,BALANCE MEDICAL PROFESSIONAL PRIMARY SERVICES PLLC,,6000.0
2016-12-02,BOSTON PEDIATRICS PLLC,,2000.0
2016-12-02,GAO MEDICAL PLLC,,6000.0
2016-12-02,PHYSICIANS OF THE FUTURE MEDGROUP PLLC,,6000.0
2016-12-02,WMR REALTY LLC,,6000.0
2016-12-02,JGH FRANKLIN LLC,,2000.0
2016-12-02,JGH MAIN LLC,,2000.0
2016-12-02,K&V TENG HOLDINGS LLC,,6000.0
2016-12-02,J & GH REALTY LLC,,2000.0
2016-12-12,"MARTOR CASE MANAGEMENT, LLC",,10000.0
2016-12-12,GALASSO MATERIALS LLC,,25000.0
2016-12-12,LINCOLN RECYCLING SERVICES LLC,,5000.0
2016-12-12,"ZAREMBA BROWN, PLLC",,5000.0
2016-12-12,MULLANEY & GJELAJ PLLC,,1000.0
2016-12-12,"TRIAD GROUP, LLC",,10000.0
2016-12-12,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,12500.0
2016-12-12,"PEGALIS & ERICKSON, LLC",,1000.0
2016-12-12,WASTE MANAGEMENT OF NEW YORK LLC,,15000.0
2016-12-12,"COASTAL DISTRIBUTION, LLC",,5000.0
2016-12-12,"DC/DD45, LLC",,5000.0
2016-12-16,ALDA REAL ESTATE HOLDINGS LLC,,6000.0
2016-12-16,NLO STRATEGIES LLC,,1000.0
2016-12-28,VP BUSES LLC,,5000.0
2016-12-28,MERCURY SERVICE GROUP LLC,,5000.0
2016-12-28,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,12500.0
2016-12-28,"LUMEN LIGHT SOLUTIONS, LLC",,10000.0
2016-12-28,15TH PROPERTY HOLDINGS LLC,,20000.0
2017-01-04,CAPITOL GROUP LLC,,2000.0
2017-01-06,FISHER BROTHERS FINANCIAL AND DEVELOPMENT CO LLC,,65000.0
2017-01-06,FISHER BROTHERS MANAGEMENT CO LLC,,65000.0
2017-01-09,ROCKABILL CONSULTING LLC,,8367.0
2017-01-09,"BROOKFIELD PROPERTIES MANAGEMENT, LLC",,40000.0
2017-01-09,BOP MANAGEMENT SERVICES LLC,,40000.0
2017-01-09,BPIL SUBSIDIARY LLC,,20000.0
2017-01-09,"EXACT CAPITAL GROUP, LLC",,50000.0
2017-01-10,"HUDSON VALLEY NOSH, LLC",,5000.0
2017-01-10,"HUDSON VALLEY MOTORS, LLC",,5000.0
2017-01-10,"WELLSTORE SUPPLY, LLC",,5000.0
2017-01-10,"RONDOUT PROPERTY MANAGEMENT, LLC",,5000.0
2017-01-10,"REST SAFE AND SOUND, LLC",,5000.0
2017-01-11,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,10000.0
2017-01-11,"25WA ASSOCIATES, LLC",,5000.0
2017-01-11,EPONYMOUS ASSOCIATES LLC,,10000.0
2017-01-11,THE PARKSIDE GROUP LLC,,10000.0
2017-01-11,"25WA ASSOCIATES, LLC",,5000.0
2017-01-12,COMCAST OF ILLINOIS/INDIANA/OHIO LLC,,10000.0
2017-01-12,FRESH DIRECT LLC,,10000.0
2017-01-12,755 CO-OP CITY LLC,,25000.0
2017-01-12,SLG GRAYBAR MESNE LEASE LLC,,15841.0
2017-01-12,TOP BANANA LLC,,5000.0
2017-01-12,J MARGIOTTA COMPANY LLC,,5000.0
2017-01-12,THE LAW OFFICES OF LAWRENCE M. HOFFMAN PLLC,,250.0
2017-01-12,"MURRAY HILL PROPERTIES, LLC",,5000.0
2017-01-12,LAW OFFICE OF ANDREW C. LAUFER PLLC,,500.0
2017-01-12,"THE RADCHENKO LAW FIRM, PLLC",,600.0
2017-01-13,SONU BEVERAGES LLC,,2000.0
2017-01-16,NNE PARTNERS LLC,,15000.0
2017-01-16,MSL PARTNERS LLC,,15000.0
2017-01-17,"PMC MEDICAL MANAGEMENT, LLC",,25000.0
2017-01-17,BIMINI SUPERFAST OPERATIONS LLC,,50000.0
2017-01-17,GLO ELECTRIC LLC,,2500.0
2017-01-17,STUDIO STREET LLC,,10000.0
2017-01-25,FRESCO LLC,,5000.0
2017-01-25,FLEMING RUVOLDT PLLC,,5000.0
2017-02-01,KV NATIONAL LAND SERVICES LLC,,10000.0
2017-02-12,CASA BUILDING MATERIALS OF ELMSFORD LLC,,1000.0
2017-02-22,MCM EQUITIES LLC,,5000.0
2017-02-28,180 VARICK LLC,,10000.0
2017-03-15,AUFGANG ARCHITECTS LLC,,1000.0
2017-03-31,DANIEL WAPNER P.E. PLLC,,2000.0
2017-03-31,PRESTIGE POLY LLC,,750.0
2017-04-06,GOTHAM GOVERNMENT RELATIONS LLC,,2500.0
2017-04-10,BOLTON ST. JOHNS LLC,,2500.0
2017-04-17,LUMEN LIGHT SOLUTIONS LLC,,15000.0
2017-04-19,MODA YOGA LLC,,7500.0
2017-04-19,TONIO BURGOS & ASSOCIATES OF NEW JERSEY LLC,,15000.0
2017-04-19,US IMMIGRATION FUND - NY LLC,,30000.0
2017-04-21,O&H MANGEMENT LLC,,5000.0
2017-04-24,D&J INDUSTRIES LLC,,5000.0
2017-04-27,NICHOLAS & LENCE COMMUNICATIONS LLC,,1000.0
2017-05-03,HALMAR INTERNATIONAL LLC,,10000.0
2017-05-04,7 WORLD TRADE CENTER II LLC,,12500.0
2017-05-04,WTC MANAGEMENT AND DEVELOPMENT LLC,,12500.0
2017-05-04,KNICKERBOCKER MANAGEMENT LLC,,10000.0
2017-05-10,GINSBURG DEVELOPMENT COMPANIES LLC,,25000.0
2017-05-10,ASA CONSTRUCTION & MANAGEMENT LLC,,5000.0
2017-05-10,TERN CONSTRUCTION & DEVELOPMENT LLC,,17500.0
2017-05-11,SABER REAL ESTATE ADVISORS LLC,,5000.0
2017-05-15,WASTE MANAGEMENT OF NEW YORK LLC,,10000.0
2017-05-15,P&M BRICK LLC,,2500.0
2017-05-15,SAFIAN & COMPANY LLC,,1000.0
2017-05-15,BROWN & WEINRAUB PLLC,,25000.0
2017-05-15,ADA ELECTRICAL CONTRACTING LLC,,1000.0
2017-05-15,GLOBAL COMPANIES LLC,,5000.0
2017-05-16,LINCOLN LAND SERVICES LLC,,2500.0
2017-05-16,CSC HOLDINGS LLC,,30000.0
2017-05-17,TONIO BURGOS & ASSOCIATES OF NEW JERSEY LLC,,5000.0
2017-05-17,SOMERSET PARTNERS LLC,,15000.0
2017-05-18,MARATHON DEVELOPMENT GROUP LLC,,15000.0
2017-05-18,MACQUESTEN DEVELOPMENT LLC,,10000.0
2017-05-18,MS & B CONSTRUCTION CO. LLC,,10000.0
2017-05-18,LIGHTHOUSE LANDING VENTURE LLC,,10000.0
2017-05-18,MACQUESTEN CONSTRUCTION MANAGEMENT LLC,,15000.0
2017-05-18,DEDICATED BUILDING SERVICES LLC,,10000.0
2017-05-19,REAL DEAL DECORATION LLC,,500.0
2017-05-19,REXSCOTT LLC,,65000.0
2017-05-19,GABELI HOLDINGS LLC,,65000.0
2017-05-19,MALL 1-BAY PLAZA LLC,,5000.0
2017-05-19,ATRIA MANAGEMENT COMPANY LLC,,10000.0
2017-05-24,THETHI REALTY LLC,,2500.0
2017-05-24,WHITE BIRCH LLC,,2500.0
2017-05-24,ALFRED WEISSMAN REAL ESTATE LLC,,1500.0
2017-05-24,FLEET MILL STREET LLC,,5000.0
